image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/61+40BOJSQL.jpg,574059,depth,33.0 centimetre
https://m.media-amazon.com/images/I/516pgePFERL.jpg,573063,depth,7.1 inch
https://m.media-amazon.com/images/I/618UHY-K+pL.jpg,675317,depth,69.0 millimetre
https://m.media-amazon.com/images/I/51DwjVJNNoL.jpg,329793,depth,21.0 centimetre
https://m.media-amazon.com/images/I/51T8JAr6VsL.jpg,734280,depth,28.5 centimetre
https://m.media-amazon.com/images/I/612hPRJW3jL.jpg,881883,depth,108.0 inch
https://m.media-amazon.com/images/I/61B-rTITDaL.jpg,961155,depth,2.5 inch
https://m.media-amazon.com/images/I/51oKtxFGL0L.jpg,966823,depth,10.0 inch
https://m.media-amazon.com/images/I/51SssIEHhVL.jpg,146860,depth,9.5 centimetre
https://m.media-amazon.com/images/I/412hMOjbEmL.jpg,254590,depth,4.4 inch
https://m.media-amazon.com/images/I/51o4gQkQ9aL.jpg,514726,depth,20.0 inch
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch
https://m.media-amazon.com/images/I/614fQWV4ciS.jpg,630869,depth,80.0 millimetre
https://m.media-amazon.com/images/I/51CWmFleLGL.jpg,941818,depth,27.0 centimetre
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch
https://m.media-amazon.com/images/I/61DiLVxBVbL.jpg,675317,depth,2.75 inch
https://m.media-amazon.com/images/I/51N2V8Hem6L.jpg,156839,depth,19.0 centimetre
https://m.media-amazon.com/images/I/41NRgWsF5EL.jpg,658892,depth,8.3 inch
https://m.media-amazon.com/images/I/614KSw47IvL.jpg,784538,depth,13.6 inch
https://m.media-amazon.com/images/I/516fOC29j+L.jpg,881883,depth,71.37 inch
https://m.media-amazon.com/images/I/51XTElvZ4PL.jpg,713791,depth,4.7 inch
https://m.media-amazon.com/images/I/615szmmtuhL.jpg,784538,depth,24.0 inch
https://m.media-amazon.com/images/I/61AWQHsV+XS.jpg,483370,depth,8.0 inch
https://m.media-amazon.com/images/I/414i+KmnbTL.jpg,764618,depth,15.0 centimetre
